Date,Exercise,Weight,Reps,Sets,RPE,Notes
2026-01-06,Bench Press,145,8,3,8,Felt strong
2026-01-06,Lat Pulldown,130,10,3,7.5,Good form
2026-01-06,Overhead Press,85,8,3,8,Slight shoulder fatigue
2026-01-09,Leg Press,315,10,3,8,Deep range of motion
2026-01-09,Romanian Deadlift,155,8,3,8,Focus on hamstring stretch
2026-01-13,Bench Press,155,8,3,8.5,Progressive overload working
2026-01-13,Lat Pulldown,140,8,3,8,Increased weight
2026-01-13,Overhead Press,90,7,3,8.5,Challenging
2026-01-16,Leg Press,340,8,3,8.5,Legs feeling strong
2026-01-16,Romanian Deadlift,165,8,3,8,Good hip hinge
2026-01-20,Bench Press,160,6,3,9,Near failure on last set
2026-01-20,Lat Pulldown,145,7,3,8.5,Grip gave out early
2026-01-20,Overhead Press,95,5,3,9,Max effort
2026-01-23,Leg Press,360,6,3,9,Heavy session
2026-01-23,Romanian Deadlift,175,7,3,8.5,Solid progression
